ID,target
0,0
1,1
2,1
3,1
4,0
5,0
6,1
7,1
8,0
9,0
10,1
11,1
12,0
13,0
14,1
15,0
16,1
17,1
18,1
19,0
20,2
21,1
22,2
23,0
24,0
25,0
26,0
27,1
28,1
29,1
30,1
31,1
32,2
33,2
34,0
35,1
36,1
37,1
38,1
39,1
40,1
41,0
42,1
43,0
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,0
52,2
53,1
54,0
55,0
56,1
57,1
58,0
59,1
60,0
61,1
62,1
63,1
64,1
65,0
66,0
67,0
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,0
77,1
78,1
79,0
80,2
81,1
82,0
83,1
84,1
85,1
86,1
87,1
88,1
89,0
90,1
91,1
92,1
93,0
94,0
95,2
96,0
97,0
98,1
99,0
100,0
101,0
102,0
103,1
104,1
105,1
106,1
107,1
108,1
109,0
110,1
111,0
112,0
113,1
114,1
115,0
116,0
117,1
118,1
119,1
120,1
121,1
122,0
123,0
124,0
125,0
126,2
127,0
128,0
129,1
130,1
131,1
132,1
133,1
134,0
135,1
136,1
137,1
138,2
139,2
140,1
141,2
142,0
143,0
144,0
145,1
146,2
147,0
148,1
149,0
150,0
151,0
152,1
153,0
154,1
155,0
156,1
157,1
158,0
159,0
160,1
161,0
162,2
163,0
164,0
165,1
166,1
167,0
168,1
169,0
170,1
171,1
172,0
173,0
174,1
175,1
176,1
177,1
178,0
179,1
180,0
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,0
190,1
191,1
192,1
193,2
194,1
195,1
196,1
197,0
198,1
199,2
200,0
201,1
202,0
203,0
204,1
205,1
206,1
207,0
208,1
209,1
210,1
211,1
212,1
213,1
214,2
215,1
216,1
217,1
218,1
219,1
220,0
221,1
222,1
223,1
224,2
225,1
226,0
227,2
228,1
229,1
230,1
231,1
232,1
233,1
234,2
235,0
236,1
237,1
238,1
239,0
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,0
249,1
250,0
251,1
252,1
253,1
254,0
255,0
256,0
257,2
258,1
259,1
260,0
261,1
262,0
263,1
264,1
265,1
266,1
267,0
268,1
269,2
270,1
271,1
272,1
273,0
274,1
275,0
276,1
277,0
278,1
279,1
280,0
281,1
282,0
283,0
284,1
285,1
286,0
287,1
288,0
289,1
290,1
291,0
292,1
293,0
294,0
295,0
296,1
297,1
298,1
299,0
300,1
301,1
302,0
303,1
304,0
305,1
306,0
307,0
308,0
309,0
310,1
311,1
312,1
313,1
314,1
315,1
316,0
317,0
318,0
319,1
320,1
321,0
322,1
323,1
324,0
325,1
326,1
327,0
328,0
329,1
330,1
331,0
332,1
333,0
334,1
335,1
336,1
337,2
338,0
339,1
340,0
341,2
342,0
343,1
344,1
345,0
346,1
347,2
348,1
349,1
350,0
351,2
352,0
353,1
354,1
355,1
356,2
357,0
358,0
359,1
360,1
361,1
362,0
363,1
364,1
365,1
366,0
367,1
368,0
369,1
370,0
371,1
372,2
373,1
374,2
375,1
376,1
377,2
378,2
379,1
380,0
381,1
382,0
383,1
384,1
385,1
386,1
387,1
388,2
389,1
390,2
391,1
392,0
393,1
394,0
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,0
403,1
404,0
405,1
406,2
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,0
416,0
417,1
418,0
419,1
420,0
421,1
422,1
423,1
424,1
425,0
426,0
427,1
428,1
429,0
430,2
431,1
432,1
433,1
434,1
435,0
436,1
437,0
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,0
446,0
447,1
448,0
449,0
450,1
451,1
452,1
453,0
454,2
455,1
456,2
457,0
458,0
459,0
460,1
461,1
462,2
463,0
464,1
465,1
466,0
467,1
468,1
469,1
470,1
471,0
472,1
473,1
474,2
475,1
476,1
477,1
478,1
479,1
480,0
481,1
482,1
483,0
484,1
485,0
486,0
487,2
488,1
489,1
490,1
491,1
492,0
493,1
494,1
495,1
496,0
497,1
498,1
499,2
500,1
501,0
502,0
503,0
504,1
505,1
506,0
507,1
508,1
509,1
510,1
511,1
512,2
513,1
514,2
515,1
516,1
517,1
518,1
519,0
520,1
521,1
522,1
523,1
524,1
525,0
526,1
527,1
528,0
529,1
530,1
531,1
532,1
533,1
534,0
535,1
536,0
537,2
538,0
539,1
540,1
541,1
542,1
543,1
544,0
545,1
546,1
547,1
548,1
549,2
550,0
551,2
552,1
553,0
554,0
555,1
556,1
557,1
558,1
559,2
560,1
561,0
562,1
563,1
564,2
565,1
566,1
567,1
568,1
569,1
570,1
571,0
572,1
573,0
574,1
575,1
576,1
577,0
578,0
579,1
580,0
581,2
582,1
583,1
584,1
585,1
586,2
587,1
588,1
589,1
590,0
591,1
592,1
593,0
594,1
595,0
596,0
597,1
598,1
599,0
600,1
601,0
602,1
603,0
604,1
605,0
606,1
607,1
608,1
609,0
610,2
611,1
612,1
613,0
614,1
615,1
616,1
617,0
618,1
619,1
620,2
621,1
622,0
623,0
624,1
625,0
626,1
627,1
628,1
629,1
630,1
631,1
632,0
633,1
634,1
635,2
636,1
637,1
638,0
639,2
640,0
641,1
642,1
643,1
644,0
645,0
646,0
647,2
648,0
649,0
650,0
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,0
659,0
660,1
661,1
662,1
663,1
664,0
665,1
666,1
667,1
668,0
669,0
670,1
671,1
672,1
673,0
674,2
675,1
676,0
677,2
678,0
679,2
680,1
681,1
682,1
683,0
684,0
685,1
686,1
687,0
688,0
689,0
690,0
691,0
692,1
693,0
694,2
695,0
696,2
697,1
698,0
699,1
700,0
701,1
702,1
703,1
704,2
705,0
706,0
707,0
708,0
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,0
720,0
721,1
722,0
723,1
724,0
725,0
726,0
727,0
728,0
729,1
730,2
731,0
732,1
733,1
734,0
735,0
736,0
737,0
738,1
739,1
740,0
741,0
742,1
743,2
744,1
745,1
746,0
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,1
756,2
757,0
758,0
759,1
760,1
761,0
762,1
763,1
764,0
765,1
766,1
767,2
768,0
769,1
770,1
771,1
772,0
773,1
774,0
775,0
776,1
777,1
778,1
779,0
780,0
781,0
782,0
783,1
784,1
785,1
786,1
787,0
788,1
789,0
790,0
791,0
792,1
793,1
794,1
795,0
796,1
797,1
798,1
799,1
800,0
801,0
802,0
803,0
804,1
805,1
806,1
807,0
808,1
809,0
810,0
811,0
812,0
813,1
814,0
815,1
816,0
817,1
818,0
819,2
820,0
821,1
822,2
823,0
824,0
825,1
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,1
834,0
835,2
836,0
837,1
838,1
839,1
840,1
841,2
842,0
843,1
844,1
845,1
846,1
847,0
848,1
849,1
850,1
851,2
852,1
853,0
854,1
855,1
856,0
857,1
858,2
859,1
860,1
861,1
862,1
863,1
864,1
865,1
866,1
867,0
868,2
869,1
870,1
871,1
872,0
873,1
874,1
875,1
876,1
877,0
878,0
879,1
880,1
881,0
882,0
883,0
884,1
885,0
886,1
887,1
888,1
889,1
890,0
891,2
892,1
893,0
894,1
895,1
896,1
897,1
898,0
899,1
900,1
901,1
902,1
903,1
904,1
905,0
906,0
907,0
908,1
909,1
910,0
911,1
912,1
913,1
914,0
915,0
916,0
917,1
918,1
919,0
920,1
921,1
922,1
923,1
924,1
925,1
926,2
927,1
928,2
929,0
930,1
931,0
932,1
933,1
934,1
935,1
936,0
937,0
938,0
939,0
940,1
941,1
942,1
943,0
944,0
945,1
946,1
947,1
948,1
949,0
950,0
951,1
952,1
953,0
954,1
955,1
956,0
957,1
958,1
959,0
960,1
961,0
962,0
963,0
964,0
965,0
966,2
967,1
968,2
969,0
970,1
971,1
972,0
973,1
974,1
975,2
976,0
977,0
978,2
979,2
980,1
981,1
982,1
983,0
984,1
985,0
986,0
987,1
988,1
989,1
990,0
991,1
992,1
993,0
994,1
995,0
996,0
997,1
998,1
999,1
1000,1
1001,0
1002,1
1003,1
1004,0
1005,0
1006,1
1007,1
1008,1
1009,1
1010,0
1011,1
1012,0
1013,1
1014,0
1015,1
1016,1
1017,2
1018,0
1019,0
1020,1
1021,0
1022,0
1023,1
1024,1
1025,1
1026,0
1027,0
1028,2
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,0
1041,0
1042,1
1043,1
1044,1
1045,1
1046,0
1047,0
1048,1
1049,1
1050,1
1051,0
1052,1
1053,1
1054,1
1055,1
1056,1
1057,1
1058,0
1059,0
1060,1
